,, data,concessionari ,consistenza,decreto ministeriale,durata anni,foglio,particella,progetto,sub,tipologia,ubicazione,unnamed 10
Catania,67.0,,associazione opera san francescoper i povericorso concordia 320129 milano,"3,5 vani",,10,,,progetto sociale,,abitazione,via oxilia,
Catania,68.0,,associazione centro ambrosiano di solidariet onlusvia marotta n. 820134 milano,"2,5 vani",,3,,,progetto sociale,,abitazione,via padova,
Catania,69.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,"3,5 vani",,10,,,progetto sociale,,abitazione e cantine di pertinenza,via padova,
Catania,70.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10 mq,,10,,,progetto sociale,,abitazione e cantine di pertinenza,via padova,
Catania,71.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,11 mq,,10,,,progetto sociale,,abitazione e cantine di pertinenza,via padova,
Catania,72.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,12 mq,,10,,,progetto sociale,,abitazione e cantine di pertinenza,via padova,
Catania,73.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,1 vano,,10,,,progetto sociale,,abitazione,via padova,
Catania,74.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10 mq,,10,,,progetto sociale,,"abitazione, cantina e sottotetto di pertinenza",via padova,
Catania,75.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,7 mq,,10,,,progetto sociale,,"abitazione, cantina e sottotetto di pertinenza",via padova,
Catania,76.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,116 mq,,10,,,progetto sociale,,"abitazione, cantina e sottotetto di pertinenza",via padova,
Catania,77.0,,gestione direttacomune di milanosettore residenzialit,"1,5 vani",,,,,progetto sociale,,abitazione,via parenzo,
Catania,78.0,,ass. gruppo volontari onlusvia g. lulli n. 3220131 milano,21 mq,,10,,,progetto sociale,,negozio,via paisiello,
Catania,79.0,,ass. gruppo volontari onlusvia g. lulli n. 3220131 milano,22 mq,,10,,,progetto sociale,,negozio,via paisiello,
Catania,80.0,,ass. gruppo volontari onlusvia g. lulli n. 3220131 milano,57 mq,,10,,,progetto sociale,,cantina,via paisiello,
Catania,81.0,,societ cooperativa sociale farsi prossimo onlusvia san bernardino 420122 milano,4 vani,,10,,,progetto sociale,,abitazione,via pianell,
Catania,82.0,,associazione centro di aiuto alla vita mangiagalli onlusvia della commenda 1220122 milano,4 vani,,10,,,progetto sociale,,abitazione,via pianell,
Catania,83.0,,gestione direttacomune di milanosettore residenzialit,"1,5 vani",,,,,progetto sociale,,abitazione,via rinuccini,
Catania,84.0,,associazione di promozione sociale jointvia giovanola 25/c20142 milano,60 mq,,3,,,progetto sociale,,negozio,via riva di trento,
Catania,85.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,3 vani,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,86.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,3 vani,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,87.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"5,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,88.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"5,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,89.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"3,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,90.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"3,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,91.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"3,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,92.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"3,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,93.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"11,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,94.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"6,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,95.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"6,5 vani",,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,96.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,24 mq,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,97.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,terreno,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,98.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,terreno,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,99.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,terreno,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
